"id","sex","grade","school","ed_level","attendence","condition2","cond_grade2","time","corsi","hnf","dccs","woodcock","tejas","time_lab","ed_level_c"
"mix515","F","fifth","school3",1,23,"mixed","mixed_fifth",1,4,6.22810661594735,8.02969255094635,65,70,"post",0
"mix516","F","fifth","school3",3,23,"mixed","mixed_fifth",0,4,7.58137321689352,8.12068930350246,66,70,"pre",2
"mix516","F","fifth","school3",3,23,"mixed","mixed_fifth",1,19,7.84274879039846,8.85924169727715,67,68,"post",2
"mix517","M","fifth","school3",3,24,"mixed","mixed_fifth",0,7,8.03413673006036,8.37218018218691,62,62,"pre",2
"mix517","M","fifth","school3",3,24,"mixed","mixed_fifth",1,14,7.66154320276733,6.90255834583317,72,66,"post",2
"mix518","M","fifth","school3",2,20,"mixed","mixed_fifth",0,6,7.04966974054551,6.70232747287296,59,60,"pre",1
"mix518","M","fifth","school3",2,20,"mixed","mixed_fifth",1,19,8.75188652406386,8.60594449180585,70,70,"post",1
"mix520","F","fifth","school3",1,17,"mixed","mixed_fifth",0,4,6.07820760826443,6.99546255405404,67,65,"pre",0
"mix520","F","fifth","school3",1,17,"mixed","mixed_fifth",1,6,7.55870526243475,6.93705598551291,67,69,"post",0
"mix521","F","fifth","school3",4,22,"mixed","mixed_fifth",0,6,8.05092701023925,7.57121302165858,64,66,"pre",3
"mix521","F","fifth","school3",4,22,"mixed","mixed_fifth",1,4,8.00224294307666,7.71065213802818,68,66,"post",3
"mix522","F","fifth","school3",1,22,"mixed","mixed_fifth",0,7,7.65553833513574,6.57025508780229,66,69,"pre",0
"mix522","F","fifth","school3",1,22,"mixed","mixed_fifth",1,7,7.84786055936622,7.22208380409041,72,72,"post",0
"mixk01","F","kinder","school3",1,20,"mixed","mixed_kinder",0,0,4.00504997021825,6.06025981640881,41,25,"pre",0
"mixk01","F","kinder","school3",1,20,"mixed","mixed_kinder",1,2,5.73030451803682,5.43428815059249,41,34,"post",0
